prod_log_id,prod_id,scheme_id,bonus_scheme,bonus_units,fp,tp,entry_date,remarks,type,bonus_status,mrp
446,85,3,100,50,16.64,17.99,14-06-24,New System Launched,1,CLOSED,0
447,85,4,100,30,18.59,20.1,14-06-24,New System Launched,1,CLOSED,0
448,85,5,100,30,21.31,23.04,14-06-24,New System Launched,1,CLOSED,0
449,85,6,100,20,16.59,17.94,14-06-24,New System Launched,1,CLOSED,0
450,85,7,100,20,15.41,16.66,14-06-24,New System Launched,1,CLOSED,0
451,85,8,100,30,13.5,14.59,14-06-24,New System Launched,1,CLOSED,0
452,85,9,100,0,20.75,22.43,14-06-24,New System Launched,1,CLOSED,0
453,85,10,100,0,24.77,26.78,14-06-24,New System Launched,1,CLOSED,0
454,85,11,100,0,30.08,32.52,14-06-24,New System Launched,1,CLOSED,0
455,86,1,100,40,30.66,33.15,14-06-24,New System Launched,1,CLOSED,0
456,87,1,100,30,36.17,39.1,14-06-24,New System Launched,1,CLOSED,0
457,87,2,100,30,44.97,48.62,14-06-24,New System Launched,1,CLOSED,0
458,88,1,100,40,77.84,84.15,14-06-24,New System Launched,1,CLOSED,0
459,88,2,100,40,91.99,99.45,14-06-24,New System Launched,1,CLOSED,0
460,88,3,100,40,119.51,129.2,14-06-24,New System Launched,1,CLOSED,0
461,88,4,100,40,166.68,180.2,10-09-24,New System Launched,1,ACTIVE,0
462,89,1,100,20,125.8,136,14-06-24,New System Launched,1,CLOSED,0
463,89,2,100,35,36.17,39.1,14-06-24,New System Launched,1,CLOSED,0
464,89,3,100,40,36.17,39.1,14-06-24,New System Launched,1,CLOSED,0
465,89,4,100,20,36.17,39.1,14-06-24,New System Launched,1,CLOSED,0
466,89,5,100,20,39.43,42.63,14-06-24,New System Launched,1,CLOSED,0
467,89,6,100,20,45.6,49.3,14-06-24,New System Launched,1,CLOSED,0
468,89,8,100,20,31.45,34,14-06-24,New System Launched,1,CLOSED,0
469,91,1,100,20,27.22,29.43,14-06-24,New System Launched,1,CLOSED,0
470,91,2,100,0,33.61,36.33,14-06-24,New System Launched,1,CLOSED,0
471,91,3,100,10,34.12,36.89,14-06-24,New System Launched,1,CLOSED,0
472,91,4,100,10,35.78,38.68,14-06-24,New System Launched,1,CLOSED,0
473,91,5,100,10,39.63,42.84,14-06-24,New System Launched,1,CLOSED,0
474,91,6,100,0,40.18,43.44,14-06-24,New System Launched,1,CLOSED,0
475,91,7,100,0,48.71,52.66,14-06-24,New System Launched,1,CLOSED,0
476,91,8,100,10,93.56,101.15,14-06-24,New System Launched,1,CLOSED,0
477,91,9,100,30,22.51,24.33,14-06-24,New System Launched,1,CLOSED,0
478,91,10,100,40,27.22,29.43,14-06-24,New System Launched,1,CLOSED,0
479,91,11,100,10,27.22,29.43,14-06-24,New System Launched,1,CLOSED,0
480,91,12,100,10,31.26,33.79,14-06-24,New System Launched,1,CLOSED,0
481,91,13,100,0,22.41,24.23,14-06-24,New System Launched,1,CLOSED,0
482,91,14,100,10,33.61,36.33,14-06-24,New System Launched,1,CLOSED,0
483,92,1,100,10,18.08,19.55,14-06-24,New System Launched,1,CLOSED,0
484,92,2,100,10,29.49,31.88,14-06-24,New System Launched,1,CLOSED,0
485,92,3,100,20,93.56,101.15,14-06-24,New System Launched,1,CLOSED,0
486,92,4,100,20,20.44,22.1,14-06-24,New System Launched,1,CLOSED,0
487,92,5,100,30,15.73,17,14-06-24,New System Launched,1,CLOSED,0
488,92,6,100,40,20.44,22.1,14-06-24,New System Launched,1,CLOSED,0
489,92,7,100,10,20.44,22.1,14-06-24,New System Launched,1,CLOSED,0
490,92,8,100,10,21.07,22.78,14-06-24,New System Launched,1,CLOSED,0
491,92,9,100,0,25,27.03,14-06-24,New System Launched,1,CLOSED,0
492,92,10,100,0,36.34,39.29,14-06-24,New System Launched,1,CLOSED,0
493,92,11,100,0,29.96,32.39,14-06-24,New System Launched,1,CLOSED,0
494,93,1,100,35,29.88,32.3,14-06-24,New System Launched,1,CLOSED,0
495,93,2,100,35,34.6,37.4,14-06-24,New System Launched,1,CLOSED,0
496,93,3,100,45,34.6,37.4,14-06-24,New System Launched,3,CLOSED,0
497,93,4,100,55,34.6,37.4,14-06-24,New System Launched,3,CLOSED,0
498,93,5,100,35,37.74,40.8,14-06-24,New System Launched,1,CLOSED,0
499,93,6,100,20,40.22,43.48,14-06-24,New System Launched,1,CLOSED,0
500,93,7,100,35,43.64,47.18,14-06-24,New System Launched,1,CLOSED,0
501,93,8,100,20,48.12,52.02,14-06-24,New System Launched,1,CLOSED,0
502,93,9,100,20,99.06,107.1,14-06-24,New System Launched,1,CLOSED,0
503,93,10,100,20,58.31,63.04,14-06-24,New System Launched,1,CLOSED,0
504,93,11,100,0,30.01,32.44,14-06-24,New System Launched,3,CLOSED,0
505,93,12,100,10,58.31,63.04,14-06-24,New System Launched,1,CLOSED,0
506,94,1,100,25,18.87,20.4,14-06-24,New System Launched,1,CLOSED,0
507,94,2,100,30,18.87,20.4,14-06-24,New System Launched,1,CLOSED,0
508,94,3,100,50,18.87,20.4,14-06-24,New System Launched,1,CLOSED,0
509,94,4,100,30,23.9,25.84,14-06-24,New System Launched,1,CLOSED,0
510,94,5,100,10,25.4,27.46,14-06-24,New System Launched,1,CLOSED,0
511,94,6,100,10,30.35,32.81,14-06-24,New System Launched,1,CLOSED,0
512,94,7,100,10,36.83,39.82,14-06-24,New System Launched,1,CLOSED,0
513,94,8,100,10,54.25,58.65,14-06-24,New System Launched,1,CLOSED,0
514,94,9,100,40,18.87,20.4,14-06-24,New System Launched,3,CLOSED,0
515,94,10,100,30,20.56,22.23,14-06-24,New System Launched,1,CLOSED,0
516,94,11,100,30,15.73,17,14-06-24,New System Launched,1,CLOSED,0
517,96,1,100,25,81.77,88.4,27-06-24,New System Launched,3,CLOSED,0
518,97,1,100,20,26.73,28.9,14-06-24,New System Launched,1,CLOSED,0
519,97,2,100,0,30.66,33.15,14-06-24,New System Launched,1,CLOSED,0
520,97,3,100,15,30.66,33.15,14-06-24,New System Launched,1,CLOSED,0
521,97,4,100,15,38.14,41.23,14-06-24,New System Launched,1,CLOSED,0
522,97,5,100,15,26.73,28.9,14-06-24,New System Launched,1,CLOSED,0
523,98,1,100,20,16.25,17.57,14-06-24,New System Launched,1,CLOSED,0
524,98,4,100,15,16.25,17.57,14-06-24,New System Launched,1,CLOSED,0
